Teste;Observacao;FO;Tempo
ESREAL;1;6.631353244301863E-10;388
DEREAL;1;0.023338233707931977;419
AGREAL;1;321.4743433072864;28
ESREAL;2;1.8583250493975356E-9;295
DEREAL;2;0.021225232832648544;304
AGREAL;2;198.45625395281297;12
DEREAL;3;0.028891274396528388;256
AGREAL;3;178.59786341394056;8
ESREAL;3;4.4087755668442696E-10;346
ESREAL;4;2.6791440177476034E-9;181
DEREAL;4;0.037202162862399746;138
AGREAL;4;99.43973786945958;6
ESREAL;5;1.0689973350963555E-9;198
DEREAL;5;0.027472075133914586;126
AGREAL;5;128.86312393377727;4
AGREAL;6;61.783620783925244;5
ESREAL;6;5.441052053356543E-10;211
DEREAL;6;0.028403609667975616;169
ESREAL;7;6.737082003382966E-10;204
DEREAL;7;0.024312154487915905;188
AGREAL;7;46.47775104166135;6
DEREAL;8;0.02536898104915508;206
ESREAL;8;2.4342625692952424E-9;200
AGREAL;8;1.1880362711636963;3
AGREAL;9;64.53893958687604;6
DEREAL;9;0.02501073624705441;183
ESREAL;9;1.417674866388552E-10;206
DEREAL;10;0.02450544237444774;109
ESREAL;10;1.0550138540565968E-10;162
AGREAL;10;37.62011408799208;4
DEREAL;11;0.029474889527250525;134
ESREAL;11;6.98150870448444E-10;189
AGREAL;11;22.174833582205224;3
DEREAL;12;0.027482870259632364;178
AGREAL;12;330.2734755722181;2
ESREAL;12;1.2015561878797598E-9;184
DEREAL;13;0.03501467876719744;102
AGREAL;13;219.33781465374432;3
ESREAL;13;1.894022716442123E-10;188
DEREAL;14;0.025648851467849454;137
ESREAL;14;3.609557097661309E-10;167
AGREAL;14;70.79528610878117;2
ESREAL;15;9.322320693172514E-11;165
DEREAL;15;0.02915649754027072;106
AGREAL;15;92.68115850981587;2
AGREAL;16;23.725407427594064;2
ESREAL;16;9.492850949754938E-11;177
DEREAL;16;0.027409280661572666;105
DEREAL;17;0.025943257282619925;103
ESREAL;17;1.2516920833149925E-10;165
AGREAL;17;21.553770872722566;2
ESREAL;18;8.378719940083101E-10;163
AGREAL;18;20.112732010689456;2
DEREAL;18;0.028968117680619798;104
ESREAL;19;1.2495320333982818E-9;164
DEREAL;19;0.02428153956532242;104
AGREAL;19;108.19218657439342;2
DEREAL;20;0.016783238958169022;102
ESREAL;20;3.291233952040784E-10;164
AGREAL;20;38.962207364374876;2
AGREAL;21;11.700264788392815;2
DEREAL;21;0.031697816582436644;108
ESREAL;21;6.333493729471229E-10;164
ESREAL;22;4.090679794899188E-9;163
AGREAL;22;76.39862275376049;2
DEREAL;22;0.03168876959887257;105
ESREAL;23;3.057039066334255E-10;169
DEREAL;23;0.022594234500161292;104
AGREAL;23;28.91858213976934;2
ESREAL;24;6.775735528208315E-11;163
AGREAL;24;95.87037245450301;2
DEREAL;24;0.030720967404022304;105
AGREAL;25;80.72798255566249;3
ESREAL;25;2.2607764549320564E-9;163
DEREAL;25;0.026359730056128683;124
DEREAL;26;0.030053685915504502;103
AGREAL;26;4.584875608357152;2
ESREAL;26;5.904894351260737E-10;165
AGREAL;27;135.9324544665352;2
ESREAL;27;1.16006049211137E-9;165
DEREAL;27;0.027282776148467747;106
AGREAL;28;64.32189325993488;3
DEREAL;28;0.02374621157321144;115
ESREAL;28;7.105427357601002E-11;166
ESREAL;29;3.4651748137548566E-10;163
DEREAL;29;0.03017639052029608;122
AGREAL;29;90.8309424202422;3
AGREAL;30;34.024790704123916;2
ESREAL;30;9.239329301635735E-10;183
DEREAL;30;0.02253140036646073;105
